name,url,author,publisher,date,price,rate,comment
人间失格,https://book.douban.com/subject/4011670/,太宰治 , 吉林出版集团有限责任公司 , 2009年9月 , 16.00元,8.3,令人无从怜悯的绝望
窗边的小豆豆,https://book.douban.com/subject/1007914/,[日] 黑柳彻子 著 , 南海出版公司 , 2003-1 , 20.00元,8.7,真正懂孩子的教育经
老人与海,https://book.douban.com/subject/1064275/,海明威 , 上海译文出版社 , 1999-10 , 8.20元,8.4,正是悲壮赋予生活以意义
1Q84 BOOK 1,https://book.douban.com/subject/4742918/,[日] 村上春树 , 南海出版公司 , 2010-5 , 36.00元,8.3,村上的野望，欢迎来到1Q84年
1984,https://book.douban.com/subject/4820710/,[英] 乔治·奥威尔 , 北京十月文艺出版社 , 2010-4-1 , 28.00,9.3,栗树荫下，我出卖你，你出卖我
黄金时代,https://book.douban.com/subject/1089243/,王小波 , 花城出版社 , 1999-3 , 19.00元,8.8,能把性爱写得如此坦荡的，大概只有王二了
哈利·波特与混血王子,https://book.douban.com/subject/1432596/,[英] J. K. 罗琳 , 人民文学出版社 , 2005-10 , 58.00元,8.8,感情线纷乱的一部。再见邓布利多
人类简史,https://book.douban.com/subject/25985021/,[以色列] 尤瓦尔·赫拉利 , 中信出版社 , 2014-11 , CNY 68.00,9.1,跟着人类一同走过十万年
三国演义（全二册）,https://book.douban.com/subject/1019568/,[明] 罗贯中 , 人民文学出版社 , 1998-05 , 39.50元,9.2,是非成败转头空
向左走·向右走,https://book.douban.com/subject/1066462/,幾米 , 生活·读书·新知三联书店 , 2002-8 , 16.00元,8.4,两条平行线相遇的可能
哈利·波特与凤凰社,https://book.douban.com/subject/1013129/,[英] J. K. 罗琳 , 人民文学出版社 , 2003-9 , 59.00元,8.7,暴脾气的哈利
悟空传,https://book.douban.com/subject/1003000/,今何在 , 光明日报出版社 , 2001-4 , 14.80元,8.3,猴子还是那个猴子，世界早已不是原来的世界
牧羊少年奇幻之旅,https://book.douban.com/subject/3608208/,[巴西]保罗·柯艾略 , 南海出版公司 , 2009-3-1 , 25.00元,8.6,你自己就是最大的宝藏
苏菲的世界,https://book.douban.com/subject/1045818/,（挪威）乔斯坦·贾德 , 作家出版社 , 1999-04 , 26.80元,8.5,最平易近人的哲学入门
房思琪的初恋乐园,https://book.douban.com/subject/27614904/,林奕含 , 北京联合出版公司 , 2018-1 , 45.00元,9.2,以血书写的文学
鲁滨逊漂流记,https://book.douban.com/subject/1016003/,[英] 笛福 , 广西民族出版社 , 2002-1 , 9.20元,8.0,最早的荒野求生
天龙八部,https://book.douban.com/subject/1255625/,金庸 , 生活.读书.新知三联书店 , 1994-5 , 96.0,9.1,“有情皆孽，无人不冤”
哈利·波特与死亡圣器,https://book.douban.com/subject/2295163/,[英] J. K. 罗琳 , 人民文学出版社 , 2007-10 , 66.00元,9.0,空
莲花,https://book.douban.com/subject/1529893/,安妮宝贝 , 作家出版社 , 2006-3 , 25.00元,8.0,三个生命的交逢，灵魅清冷
无声告白,https://book.douban.com/subject/26382433/,[美] 伍绮诗 , 江苏凤凰文艺出版社 , 2015-7 , 35.00元,8.2,莉迪亚死了，可他们还不知道
呼啸山庄,https://book.douban.com/subject/1119522/,（英）勃朗特 , 人民文学出版社 , 1999-01-01 , 27.30元,8.4,近乎暴虐的爱与恨，中文译名后无来者
亲爱的安德烈,https://book.douban.com/subject/3369793/,龙应台 , 人民文学出版社 , 2008-12 , 26.00,8.7,龙应台母子对话，两代人的思想碰撞
基督山伯爵,https://book.douban.com/subject/1085860/,大仲马 , 上海译文出版社 , 1991-12-1 , 43.90元,9.0,完美的复仇，金庸用法语写作应该就是这样
白鹿原,https://book.douban.com/subject/1085799/,陈忠实 , 人民文学出版社 , 1997-12 , 28.00元,8.7,中国乡村史诗
骆驼祥子,https://book.douban.com/subject/1043815/,老舍 , 人民文学出版社 , 2000-3-1 , 12.00,8.3,如骆驼喘息般深刻的绝望
灿烂千阳,https://book.douban.com/subject/2143732/,[美] 卡勒德·胡赛尼 , 上海人民出版社 , 2007-9 , 28.00元,8.8,唯有希望与爱可以驱散阴霾
局外人,https://book.douban.com/subject/4908885/,[法] 阿尔贝·加缪 , 上海译文出版社 , 2010-8 , 22.00元,9.0,人生在世，永远也不该演戏作假
茶花女,https://book.douban.com/subject/1013380/,小仲马 , 外国文学出版社 , 1997-3 , 9.00元,8.2,妓女应当拥有爱情吗？
海边的卡夫卡,https://book.douban.com/subject/1059419/,[日] 村上春树 , 上海译文出版社 , 2003-4 , 25.00元,8.1,背负诅咒的少年，平行世界中的奥德赛
一个陌生女人的来信,https://book.douban.com/subject/2154960/,[奥] 斯台芬·茨威格 , 上海译文出版社 , 2007-7 , 20.00元,8.7,暗恋的极致
笑傲江湖（全四册）,https://book.douban.com/subject/1002299/,金庸 , 生活·读书·新知三联书店 , 1994-5 , 76.80元,9.0,武侠的壳，政治斗争的核
福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,[英] 阿·柯南道尔 , 1981-8 , 53.00元,68.00元,9.2,侦探小说鼻祖
兄弟（上）,https://book.douban.com/subject/1401425/,余华 , 上海文艺出版社 , 2005-8 , 16.00元,8.3,历史苦难中的个人灾变
沉默的大多数,https://book.douban.com/subject/1054685/,王小波 , 中国青年出版社 , 1997-10 , 27.00元,9.1,沉默是沉默者的通行证
少有人走的路,https://book.douban.com/subject/1775691/,[美] M·斯科特·派克 , 吉林文史出版社 , 2007-1 , 26.00元,8.4,成熟的心智通向更完善的自我
了不起的盖茨比,https://book.douban.com/subject/1008988/,菲茨杰拉德 , 人民文学出版社 , 2004-06 , 12.00元,8.3,梦，就像黛西家的那一缕绿光
东方快车谋杀案,https://book.douban.com/subject/1827374/,[英] 阿加莎·克里斯蒂 , 人民文学出版社 , 2006-5 , 18.00元,9.0,谋杀诡计惊人，波洛的抉择耐人寻味
情书,https://book.douban.com/subject/1080370/,[日] 岩井俊二 , 天津人民出版社 , 2004-7 , 18.00元,8.6,一场误会中的两段爱情，东方式的含蓄隐忍
