name,url,author,publisher,date,price,rate,comment
天使与魔鬼,https://book.douban.com/subject/1228110/,[美] 丹.布朗 , 人民文学出版社 , 2005-2 , 29.80元,8.1,科学与宗教的大乱斗
七夜雪,https://book.douban.com/subject/1919201/,沧月 , 北京十月文艺出版社 , 2006-10 , 25.00元,8.4,抵不过时间
ZOO,https://book.douban.com/subject/2297697/,[日] 乙一 , 当代世界出版社 , 2007-10 , 20.00元,8.6,噩梦中的一丝温度
人性的弱点全集,https://book.douban.com/subject/1056295/,[美] 戴尔·卡耐基 , 中国发展出版社 , 2008-1 , 25.00元,8.2,西方世界最持久的人文畅销书
往事并不如烟,https://book.douban.com/subject/1059336/,章诒和 , 人民文学出版社 , 2004-1 , 35.00元,8.6,知识分子的命运浮沉
国境以南 太阳以西,https://book.douban.com/subject/1015452/,[日] 村上春树 , 上海译文出版社 , 2001-8 , 13.50元,8.3,灾星下出生的恋人们
未来简史,https://book.douban.com/subject/26943161/,[以色列] 尤瓦尔·赫拉利 , 中信出版集团 , 2017-2 , 68.00元,8.4,人类面临的新议题
蔷薇岛屿,https://book.douban.com/subject/1063190/,安妮宝贝 , 作家出版社 , 2002-8 , 18.00元,8.0,你们不会彼此遗忘。只会彼此消失
一句顶一万句,https://book.douban.com/subject/3633461/,刘震云 , 长江文艺出版社 , 2009-3 , 29.80,8.7,一句胜过千年
项链,https://book.douban.com/subject/1258498/,[法] 莫泊桑 , 河北教育出版社 , 2005-2 , 28.00元,8.3,空
京华烟云,https://book.douban.com/subject/1391191/,林语堂 , 陕西师范大学出版社 , 2005-7 , 43.00元,8.5,林语堂的《红楼梦》
没有色彩的多崎作和他的巡礼之年,https://book.douban.com/subject/25733470/,[日] 村上春树 , 南海出版公司 , 2013-10-1 , 39.50元,8.2,并不是一切都消失在了时间的长河里
罗生门,https://book.douban.com/subject/3136271/,[日]芥川龙之介 , 上海译文出版社 , 2008-7 , 12.00元,8.7,空
文学回忆录（全2册）,https://book.douban.com/subject/20440644/,木心 讲述 , 广西师范大学出版社 , 2013-1-10 , 98.00元,9.2,木心留给世界的礼物
父与子全集,https://book.douban.com/subject/1002898/,[德] 埃·奥·卜劳恩 绘 , 中国工人出版社 , 2003-4 , 20.00元,9.2,空
最初的爱情 最后的仪式,https://book.douban.com/subject/4011440/,[英] 伊恩·麦克尤恩 , 南京大学出版社 , 2010-2 , 22.00元,8.0,别被封面骗了
尼罗河上的惨案,https://book.douban.com/subject/1818347/,[英] 阿加莎·克里斯蒂 , 人民文学出版社 , 2006-5 , 22.00元,8.7,阿婆代表作之一
一千零一夜,https://book.douban.com/subject/1035848/,纳训 , 人民文学出版社 , 2003-01 , 22.0,8.6,空
人间词话,https://book.douban.com/subject/1203426/,王国维 , 上海古籍出版社 , 1998-12-01 , 9.80元,9.0,空
生活在别处,https://book.douban.com/subject/1013225/,[捷克] 米兰·昆德拉 , 上海译文出版社 , 2004-5 , 25.00元,8.4,此处的生活唯有残酷
激荡三十年（上）,https://book.douban.com/subject/1970428/,吴晓波 , 中信出版社 浙江人民出版社 , 2007-1 , 35.00,8.8,这是一个最好的时代，也是一个最坏的时代
设计中的设计,https://book.douban.com/subject/1941558/,[日] 原研哉 , 山东人民出版社 , 2006-11 , 48.00元,8.6,日常生活的无限可能性
心是孤独的猎手,https://book.douban.com/subject/1424741/,[美] 卡森·麦卡勒斯 , 上海三联书店 , 2005-8 , 25.00元,8.5,镇上有两个哑巴，他们总是在一起。
雨季不再来,https://book.douban.com/subject/2136140/,三毛 , 北京十月文艺出版社 , 2007-7 , 28.00元,8.7,空
面纱,https://book.douban.com/subject/10560798/,(英)W.萨默塞特·毛姆 , 重庆 , 2012-05-01 , 32.00元,8.7,空
佛祖在一号线,https://book.douban.com/subject/4872671/,李海鹏 , 文化艺术出版社 , 2010-6 , 25.00元,8.2,嬉笑怒骂的常识分子
我执,https://book.douban.com/subject/3642673/,梁文道 , 广西师范大学出版社 , 2010-10 , 35.00元,8.0,梁文道的私密日记
新名字的故事,https://book.douban.com/subject/26986954/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-4 , 59.00元,9.0,空
我的精神家园,https://book.douban.com/subject/1014578/,王小波 , 文化艺术出版社 , 1997 , 18.80元,9.1,活过，爱过，写过
第一炉香,https://book.douban.com/subject/1082162/,张爱玲 , 花城出版社 , 1997-3 , 11.5,8.4,空
妻妾成群,https://book.douban.com/subject/1025753/,苏童 , 上海文艺出版社 , 2004-8 , 23.00元,8.2,空
海子的诗,https://book.douban.com/subject/1011754/,海子 , 人民文学出版社 , 1999-04 , 15.40,8.9,空
九州·缥缈录,https://book.douban.com/subject/1321017/,江南 , 新世界出版社 , 2005-6 , 20.00元,8.8,乱世的英雄史诗
芳华,https://book.douban.com/subject/27010212/,严歌苓 , 人民文学出版社 , 2017-4-1 , 39.00元,8.1,空
偷书贼,https://book.douban.com/subject/2180619/,[澳] 马克斯·苏萨克 , 南海出版公司 , 2007-8 , 25.00元,8.0,不能说偷，是窃，窃你懂吗
野火集,https://book.douban.com/subject/1426971/,龙应台 , 文汇出版社 , 2005-8 , 25.00元,8.8,中国人你为什么不生气？
娱乐至死,https://book.douban.com/subject/1062193/,[美] 尼尔·波兹曼 , 广西师范大学出版社 , 2011-6 , 29.80元,8.6,空
教父,https://book.douban.com/subject/1092335/,[美]马里奥·普佐 , 译林出版社 , 1997-8 , 23.30元,9.0,空
万水千山走遍,https://book.douban.com/subject/1036490/,三毛 , 哈尔滨出版社 , 2003-08 , 13.80,8.8,空
哈姆莱特,https://book.douban.com/subject/1006197/,[英] 莎士比亚 , 人民文学出版社 , 2001-1 , 7.00元,8.5,空
占星术杀人魔法,https://book.douban.com/subject/3187737/,[日] 岛田庄司 , 新星出版社 , 2008-9 , 28.00,8.3,一桩占星术连续杀人案件
斯通纳,https://book.douban.com/subject/26425831/,[美] 约翰·威廉斯 , 上海人民出版社 , 2016-1 , 49.00元,8.8,空
舞！舞！舞！,https://book.douban.com/subject/1020670/,[日] 村上春树 , 上海译文出版社 , 2002-6 , 25.00元,8.3,深入村上春树的心灵腹地
台北人,https://book.douban.com/subject/5337248/,白先勇 , 广西师范大学出版社 , 2010-10 , 38.00元,8.9,空
浪潮之巅,https://book.douban.com/subject/6709783/,吴军 , 电子工业出版社 , 2011-8 , 55.00元,9.1,了解IT领域的入门读物
雾都孤儿,https://book.douban.com/subject/1203251/,[英]狄更斯 , 上海译文出版社 , 1991-7 , 10.10元,8.1,空
动物凶猛,https://book.douban.com/subject/1143694/,王朔 , 中国电影出版社 , 2004年02月 , 15.50元,8.3,空
子不语1,https://book.douban.com/subject/4188697/,夏达 , 新世纪出版社 , 2009-12 , RMB36.00,9.0,空
新参者,https://book.douban.com/subject/6746289/,[日] 东野圭吾 , 南海出版公司 , 2011-9 , 28.00元,8.4,空
小姨多鹤,https://book.douban.com/subject/3012517/,严歌苓 , 作家出版社 , 2008-4 , 28.00元,8.6,空
高效能人士的七个习惯（精华版）,https://book.douban.com/subject/1048007/,[美] 史蒂芬·柯维 , 中国青年出版社 , 2011-6 , 29.00元,8.2,空
爱的艺术,https://book.douban.com/subject/3026879/,[美] 艾·弗洛姆 , 上海译文出版社 , 2008-4 , 15.00元,8.8,空
罗杰疑案,https://book.douban.com/subject/1807516/,[英] 阿加莎·克里斯蒂 , 人民文学出版社 , 2006-5 , 21.00元,8.9,空
夹边沟记事,https://book.douban.com/subject/3239549/,杨显惠 , 花城出版社 , 2008-09 , 34.00元,9.2,空
白银时代,https://book.douban.com/subject/1082150/,王小波 , 花城出版社 , 1997-5 , 10.00元,8.4,空
动物庄园,https://book.douban.com/subject/1018136/,（英）乔治·奥威尔 , 上海人民出版社 , 2000-08 , 18.00,9.1,空
琅琊榜,https://book.douban.com/subject/2326571/,海宴 , 朝华出版社 , 2007-12 , 49.80元,8.5,空
观念的水位,https://book.douban.com/subject/20463108/,刘瑜 , 浙江大学出版社 , 2013-1 , 36.00元,8.3,空
枪炮、病菌与钢铁,https://book.douban.com/subject/1813841/,[美] 贾雷德·戴蒙德 , 上海世纪出版集团 , 2006-4-1 , 45.00元,8.8,空
红拂夜奔,https://book.douban.com/subject/1418686/,王小波 , 江苏文艺出版社 , 2005-1 , 28.00元,8.6,空
巨流河,https://book.douban.com/subject/4842446/,齐邦媛 , 生活·读书·新知三联书店 , 2010-10 , 39.00元,8.7,空
一个叫欧维的男人决定去死,https://book.douban.com/subject/26672693/,[瑞典] 弗雷德里克·巴克曼 , 四川文艺出版社 , 2015-12 , 35.00元,9.0,空
告白,https://book.douban.com/subject/3920130/,湊佳苗 , 時報文化 , 2009-8 , NT$250,8.6,空
中国大历史,https://book.douban.com/subject/1015699/,黄仁宇 , 生活·读书·新知三联书店 , 2007-2 , 19.00元,8.3,空
寻羊冒险记,https://book.douban.com/subject/1031740/,[日] 村上春树 , 上海译文出版社 , 2001-8 , 18.80元,8.1,空
云中歌1,https://book.douban.com/subject/2283084/,桐华 , 作家出版社 , 2007-9 , 24.80元,8.0,空
来不及说我爱你,https://book.douban.com/subject/1886385/,匪我思存 , 新世界出版社 , 2006-9 , 20.00元,8.1,空
相约星期二,https://book.douban.com/subject/2194123/,[美] 米奇·阿尔博姆 , 上海译文出版社 , 2007-7 , 19.00元,8.4,空
带一本书去巴黎,https://book.douban.com/subject/1001885/,林达 , 生活·读书·新知三联书店 , 2002-5 , 35.00元,8.5,空
可爱的洪水猛兽,https://book.douban.com/subject/3860856/,韩寒 , 万卷出版公司 , 2009-08-01 , 25.00元,8.1,空
退步集,https://book.douban.com/subject/1003284/,陈丹青 , 广西师范大学出版社 , 2005-1 , 38.00元,8.1,空
